,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
80,ARANIKO OVERSEAS PVT. LTD.,5,0,5
81,AROUND THE WORLDS SERVICES,2,0,2
82,ASEANA INTERNATIONAL PVT.LTD.,19,0,19
83,ASHA INTERNATIONAL PVT. LTD.,5,0,5
84,ASHUTOSH MANPOWER CONSULTANCY PVT. LTD.,138,1,139
85,ASIA LINK SERVICES PVT. LTD.,44,0,44
86,ASIA PACIFIC RECRUITMENT SERVICE PVT. LTD.,20,0,20
87,ASIAPOWER RECRUITMENT CONSULTANTS PVT.LTD.,84,0,84
88,ASLESHA INTERNATIONAL PVT LTD,23,3,26
89,ASMITA INTERNATIONAL OVERSES P. LTD.,16,0,16
90,ASSOCIATES WELCOME INTERNATIONAL PVT. LTD.,1,0,1
91,AURORA HUMAN RESOURCE PVT. LTD.,16,0,16
,AURUM CONSULTING PVT. LTD.(WHITE PEARL,,,
92,RECRUITMENT SERVICES PVT.LTD.),20,0,20
93,Avion Human Resource Management Pvt. Ltd.,10,1,11
94,AVIOSUPPORT HUMAN RESOURCES PVT LTD,0,5,5
95,AYUSH INTERNATIONAL OVERSEAS SERVICES PVT. LTD.,113,10,123
96,B AND G INTERNATIONAL OVERSEAS PVT.LTD,2,0,2
97,B.D. GROUP MAN POWER PVT.LTD.,6,0,6
98,B.GAS FOREIGN EMPLOYMENT PVT. LTD.,8,0,8
99,B.J. OVERSEAS PVT. LTD.,73,0,73
100,B.M. OVERSEAS PVT. LTD.,140,6,146
101,B.S. OVERSEAS PVT. LTD.,147,0,147
102,BABA HUMAN RESOURCE MANAGEMENT PVT. LTD.,35,2,37
103,BABY ANGEL INTERNATIONAL PVT. LTD.,42,0,42
104,BAIBHAV OVERSEAS PVT. LTD.,0,2,2
105,BAJRA HUMAN RESOURCES PVT.LTD.,90,0,90
106,BELIEVABLE OVERSEAS PVT.LTD.,20,0,20
107,BEST RECRUITMENT SERVICE PVT. LTD.,93,61,154
108,BETA INTERNATIONAL MANPOWER PVT. LTD.,8,0,8
,BETA MANPOWER RESOURCES PVT.LTD.(GREAT,,,
109,EMPLOYMENT CERNTER PVT.LTD.),1,0,1
110,BHAIRAB INTERNATIONAL SERVICE PVT. LTD.,3,0,3
111,BHANDARI OVERSEAS PVT. LTD.,43,33,76
112,BHUMIPUTRA FOREIGN EMPLOYMENT SERVICE PVT LTD,78,0,78
113,BIGYAN HR MANAGEMENT PVT. LTD.,77,0,77
114,BINAMAY INTERNATIONAL PVT. LTD.,47,0,47
115,BIRAT OVERSEAS INTERNATIONAL PVT.LTD,121,0,121
116,BISHOJYOTI HR SOLUTION PVT LTD,22,0,22
117,BLUE BIRD OVERSEAS PVT.LTD.,10,0,10
118,BLUE LINK PLACEMENT SOLUTION PVT.LTD,20,0,20
119,Blue Moon Overseas Nepal Pvt. Ltd.,7,2,9
120,BLUE OCEAN OVERSEAS PVT. LTD.,24,0,24
121,BLUE OCEAN RECRUITMENT PVT. LTD.,19,13,32
122,BLUE SKY INTERNATIONAL PVT. LTD.,59,0,59
123,BRIDGE SKY INTERNATIONAL PVT. LTD.,,66,6,72
124,BRIGHT STAR HUMAN RESOURCES PVT. LTD.,,4,1,5
125,BRITISH GORKHA OVERSEAS SERVICES PVT. LTD.,,3,0,3
126,BROADWAY OVERSEAS EMPLOYMENT SERVICE PVT. LTD.,,10,0,10
,Brothers International Employment Pvt. Ltd.(THE LINK FOR,,,,
127,RECRUITMENT CONSULTANCY PVT.LTD.),,176,57,233
128,C. D. HUMAN RESOURCES PVT. LTD.,,61,58,119
129,CAPITAL INTERNATIONAL MANPOWER PVT. LTD.,,24,3,27
130,CAPITAL RECRUITMENT,SERVICES P.LTD.,0,3,3
131,CARAVAN EMPLOYMENT SERVICES PVT. LTD.,,22,0,22
132,care professional service pvt.ltd,,0,2,2
,CAREER DEVELOPMENT HUMAN RESOURCE PVT.,,,,
133,LTD.(MAHARAJA HUMAN RESOURCE PVT.LTD),,12,1,13
134,CAREER INTERNATIONAL SERVICES (P) LTD.,,19,0,19
135,CENTRAL CAPITAL SERVICES PVT.LTD.,,88,0,88
136,CHANDANI MANAGEMENT SERVICES PVT. LTD.,,13,3,16
,CHANDRA KAMANA MANPOWER PVT.LTD. (A.D. CAREERS,,,,
137,PVT.LTD.),,104,12,116
138,Cherish Oversease Pvt. Ltd,,31,7,38
139,CHINARI OVERSEAS PVT. LTD.,,6,0,6
140,CLASSIC OVERSEAS MANPOWER PVT. LTD.,,3,0,3
141,CODE INTERNATIONAL SERVICES PVT. LTD.,,47,6,53
142,Confident International Manpower Pvt.Ltd,29,4,33
143,CONTINENTAL H.R.D. CONSULTANTS PVT. LTD.,15,1,16
144,CONTINENTAL MERCANTILE PVT. LTD.,7,0,7
145,COSMO INTERNATIONAL OVERSEAS PVT. LTD.,40,0,40
146,COSMOS NEPAL HUMAN RESOURCE (P) LTD.,16,0,16
147,CREATIVE PLACEMENT SERVICES PVT. LTD.,54,0,54
148,CROWN EMPLOYMENT CONSULTANT PVT. LTD.,26,0,26
149,CROWN OVERSEAS CONSULTANCY PVT. LTD.,5,9,14
150,CST SEASON SERVICE PVT. LTD.,3,0,3
151,D.A HUMAN RESOURCE PVT.LTD,1,0,1
152,D.D. HUMAN RESOURCE PVT. LTD.,4,0,4
,D.N. INTERNATIONAL NEPAL OVERSEAS EMPLOYMENT,,,
153,AGENCY PVT. LTD.,7,0,7
154,D.N. MANPOWER PVT. LTD.,110,30,140
155,D.PROTON MANPOWER SUPPLIERS PVT. LTD.,10,0,10
156,D.Squared Group Pvt. Ltd.(Nava Jyoti H.R. solution),5,1,6
157,Dailekh Overseas P. Ltd.,26,0,26
158,DAKSHINKALI MANPOWER SUPPLIER PVT. LTD.,19,0,19
159,DAMARU RESOURCE PVT.LTD.,16,0,16
160,DAR AL-KHALEEJ OVERSEAS MANPOWER CONCULTANT,30,0,30
161,David Foreign Recruitment Agency Pvt. Ltd.,3,0,3
162,DECENT EMPLOYMENT PVT. LTD.,96,17,113
163,DEEP JYOTI MANPOWER SERVICE PVT LTD.,67,1,68
164,DEITY INTERNATIONAL PVT.LTD.,2,0,2
165,DELUXE HR SOLUTIONS PVT. LTD.,2,0,2
166,Destiny H.R. Group Pvt. Ltd(Wide Renge HR Pvt. Ltd.),4,0,4
167,DESTINY HUMAN RESOURCE NEPAL PVT.LTD,129,1,130
168,DESTINY PLACEMENT SERVICE PVT. LTD.,38,0,38
169,DEWAN CONSULTANTS PVT.LTD,57,6,63
170,DHARMA OVERSEAS PVT. LTD.,62,0,62
171,DIAMOND OVERSEAS SERVICES PVT. LTD.,8,0,8
172,Diamond Star Overseas Pvt. Ltd.,37,0,37
173,DIANA OVERSEAS PVT. LTD.,7,1,8
174,DITYA INTERNATIONAL PVT. LTD.,164,9,173
175,DIVINE INSIGHT OVERSEAS PVT.LTD,5,3,8
176,DIYALO INTERNATIONAL EMPLOYMENT AGENCY PVT. LTD.,23,7,30
177,DK River Overseas Pvt. Ltd.,49,4,53
178,DOS LINK PVT. LTD.,12,0,12
179,DOTI OVERSEAS PVT.LTD,47,0,47
180,DREAM & GUIDE SYSTEM PVT. LTD,11,1,12
181,DREAM RECRUITING SERVICE,22,3,25
,Dreamland Management Pvt.Ltd.(FIRDOSH,,,
182,INTERNATIONAL OVERSEAS COMPANY PVT. LTD.),27,0,27
183,DUBAI OVERSEAS INTERNATIONAL PVT.LTD.,28,0,28
184,DULSCO HUMAN RESOURCES PVT. LTD.,19,0,19
185,DYNAMIC GLOBAL H.R.PVT. LTD.,1,2,3
186,DYNAMIC SALES AND SERVICES PVT. LTD.,157,0,157
187,DYNAMIC STAFFING SOLUTION NEPAL PVT. LTD.,65,2,67
188,EARTH SMART HUMAN RESOURCES NEPAL PVT.LTD.,50,0,50
189,EARTH VISION MANPOWER SERVICES PVT. LTD.,0,3,3
190,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),49,3,52
191,Elan International Pvt. Ltd.,7,0,7
192,ELITE HUMAN RESOURCE PVT. LTD.,5,1,6
193,ELMIRA MANPOWER SERVICE PVT. LTD.,11,0,11
194,EMASCO NEPAL PVT. LTD.,28,0,28
195,EMERALD ISLE NEPAL PVT LTD(GULMI OVERSEAS PVT LTD),2,0,2
196,EMINENCE RECRUITMENT INTERNATIONAL PVT LTD,93,0,93
197,EMPIRE INTERNATIONAL PVT. LTD.,7,0,7
198,EMPLOYMENT CREATION SERVICE PVT. LTD.,2,1,3
199,Employment Link Nepal Pvt. Ltd.,40,1,41
200,EMPOWER HUMAN RESOURCES MANAGEMENT PVT. LTD,72,17,89
201,EQUATOR INTERNATIONAL P LTD,7,0,7
202,Eram Overseas Pvt. Ltd.,4,7,11
203,Euro Asia H.R. Solutions Pvt. Ltd. KTM Nepal,32,4,36
,EURO TECH CONSULTANCY PVT. LTD. (DARSHAN OVERSEAS,,,
204,PVT. LTD.),7,0,7
205,EUROCROSS INTERNATIONAL PVT.LTD.,0,5,5
206,Eurosia human resourse p.ltd,1,11,12
207,EVE NEPAL OVERSEAS PVT. LTD.,37,3,40
208,Ever Bright Overseas Pvt. Ltd.,40,0,40
209,EXCELLENT MANPOWER SERVICES PVT.LTD.,25,0,25
210,FAIR CONNECT RESOURCE PVT.LTD.,102,0,102
211,Famous Human Resources Pvt. Ltd.,49,0,49
212,Fast Employment Service (P) ltd,33,0,33
213,FAZAL INTERNATIONAL PVT.LTD,63,0,63
214,FELICITY INTERNATIONAL EMPLOYMENT AGENCY PVT. LTD,2,0,2
215,FEWA H.R. SOLUTIONS PVT. LTD.,25,0,25
216,Fewa Overseas Pvt. Ltd,6,0,6
217,Fishtail Overseas Pvt. Ltd.,28,11,39
218,FIVE STAR INTERNATIONAL OVERSEAS PVT. LTD.,8,0,8
219,FOUR STAR OVERSEAS EMPLOYMENT SERVICES PVT. LTD.,4,2,6
,FRIENDSHIP INTERNATIONAL EMPLOYMENT SERVICE PVT.,,,
220,LTD.,2,0,2
221,FRIENDSHIP MANPOWER CONSULTANCY PVT. LTD.,5,0,5
222,FRONTLINE RECRUITMENT PVT.LTD.,234,6,240
223,FUSION INTERNATIONAL PVT. LTD.,63,38,101
224,FUTURE EMPLOYMENT SERVICES PVT. LTD.,83,12,95
225,FUTURE LINK INTERNATIONAL PVT. LTD.,13,0,13
226,FUTURE MINDS PVT. LTD.,13,0,13
227,FUTURE STAR MANPOWER PVT. LTD.,21,0,21
228,G.C.D. WORLDWIDE PVT. LTD.,29,58,87
229,G.R. MANPOWER SERVICE PVT. LTD.,14,0,14
230,GALAXY UNIVERSAL SERVICES,14,0,14
231,GANAPATI OVERSEAS PVT. LTD.,2,20,22
232,GANDAKI GURKHAS PVT. LTD.,8,0,8
233,GAURI SHANKAR OVERSEAS PVT. LTD.,19,1,20
234,GAUTAM INTERNATIONAL MANPOWER SERVICES PVT LTD,2,30,32
235,GENUINE PLACEMENT PVT. LTD.,22,0,22
,Global Recruitment Group Pvt.Ltd.(BASNET AND GROUP,,,
236,HUMAN RESOURCE PVT LTD),12,0,12
,GLOBAL SOURCING GROUP PVT.LTD(TRANS ASIA,,,
237,MANPOWER PVT.LTD),7,3,10
238,GLOBAL WELFARE HR SOLUTION PVT.LTD.,10,0,10
239,Gold Overseas Pvt Ltd,35,0,35
240,Golden achivers international pvt Ltd,41,29,70
241,Golden Eagle Manpower Pvt. Ltd.,50,0,50
242,Golden Gateway Internatioal P.Ltd,5,4,9
243,Good Earth International Pvt. Ltd.,11,0,11
244,GOODWILL INTERNATIONAL PVT.LTD.,93,0,93
245,GORKHA HUMAN RESOURCE SOLUTION PVT LTD,68,12,80
246,GORKHAS ASSOCIATE PVT. LTD.,51,0,51
247,GRACE OVERSEAS PVT. LTD.,3,2,5
248,GRAND FORTUNE EMPLOYMENT SERVICES PVT. LTD.,5,0,5
,Grand Pearl International Pvt. Ltd. (Twilight Overseas Pvt,,,
249,Ltd),13,0,13
250,GRAND SHIKHAR OVERSEAS PVT LTD,16,0,16
251,GRAND SUITE JOB PVT. LTD.,90,2,92
252,Greater Vision Overseas Pvt. Ltd.,90,0,90
253,GREEN HILL OVERSEAS PVT. LTD.,3,0,3
254,GREEN LIGHT OVERSEAS PVT. LTD,25,1,26
255,GREEN STAR OVERSEAS PVT. LTD.,36,0,36
,GREEN TARA INTERNATIONAL OVERSEAS SERVICES PVT.,,,
256,LTD.,3,1,4
,GROWTH PROCESS INTERNATIONAL EMPLOYMENT PVT.,,,
257,LTD.,100,0,100
,GUIDELINE RECRUITMENT SERVICE PVT.LTD. (K. D.,,,
258,MANPOWER PVT. LTD.),8,1,9
259,GULF MANAGEMENT INTERNATIONAL PVT. LTD,7,0,7
260,GULF MANPOWER SERVICES PVT. LTD.,107,0,107
261,GULF SKY INTERNATIONAL PVT. LTD.,59,0,59
262,GULF STAR OVERSEAS PVT. LTD.,15,0,15
263,GURKHA EMPLOYMENT PVT. LTD.,40,0,40
264,GURUNG MAGAR SERVICES PVT. LTD.,19,0,19
265,GURUNG MANAGEMENT OVERSEAS PVT. LTD.,34,0,34
266,H. R. WORLD SERVICE PVT. LTD.,2,0,2
267,H.M.T. Overseas Pvt. Ltd.,42,4,46
268,H.R. INTERNATIONAL EMPLOYMENT SERVICES,27,2,29
,HABTOOR INTERNATIONAL PVT. LTD. (LALITPUR OVERSEAS,,,
269,PVT. LTD.),5,2,7
270,HALESI OVERSEAS PVT LTD,8,0,8
271,HAMDAN EMPLOYMENT SERVICE PVT. LTD.,15,10,25
272,HAPPY NEPAL EMPLOYMENT PVT. LTD,120,0,120
273,HEAVEN OVERSEAS PVT. LTD.,8,0,8
274,HELP OVERSEAS PVT. LTD.,0,8,8
275,HERALD INTERNATIONAL PVT. LTD.,23,1,24
276,HI TECH H.R. SOLUTION PVT. LTD.,5,0,5
277,Hilton Human Resources pvt.Ltd.,3,0,3
278,HIMALAYAN HUMAN RESOURCES NEPAL PVT. LTD.,52,5,57
279,Himalayan Valley Nepal Pvt.Ltd.,11,0,11
280,HIT OVERSEAS EMPLOYMENT PVT. LTD.,10,0,10
281,HONESTY OVERSEAS PVT.LTD.,8,0,8
282,HOPE INTERNATIONAL PVT. LTD,23,0,23
283,HPI GLOBAL NEPAL OVERSEAS SERVICES,2,1,3
,Humanitarian Human Resources Pvt. Ltd.(Aboard Link H.R.,,,
284,Solution),1,0,1
285,HUMOUR OVERSEAS PVT. LTD.,49,4,53
286,HYHIRE INTERNATIONAL PVT. LTD.,4,0,4
287,IMPERIAL OVERSEAS PVT.LTD,6,1,7
288,IMS MANPOWER PVT.LTD.,8,0,8
289,Index Recruitment Pvt. Ltd.,50,3,53
290,INDIGO OVERSEAS PVT. LTD.,22,1,23
291,INDO ARAB MANPOWER PVT. LTD.,64,1,65
292,INNOVATIVE HUMAN RESOURCE DEVELOPMENT PVT. LTD.,64,0,64
293,INSPIRE INTERNATIONAL EMPLOYMENT PVT.LTD.,32,0,32
294,International Hr Solution Pvt. Ltd.,151,0,151
295,INTERNATIONAL MANPOWER RECRUITMENT (P) LTD.,400,9,409
296,INTERNATIONAL TRADE LINKS NEPAL PVT.LTD.,32,5,37
297,ISHAN INTERNATIONAL OVERSEAS PVT. LTD.,90,0,90
298,ISHAN OVERSEAS PVT. LTD.,14,0,14
299,J. J. HUMAN RESOURCE PVT. LTD.,15,0,15
300,J.P. OVERSEAS PVT.LTD,76,0,76
301,J.S.N. International Pvt. Ltd.,26,0,26
302,JALAJALA RECRUITMENT PVT.LTD,30,0,30
303,JANASHAKTI INTERNATIONAL SERVICES PVT.LTD.,24,3,27
304,JAPURA OVERSEAS PVT. LTD.,1,20,21
305,JASMINE OVERSEAS PVT.LTD.,3,0,3
306,JBR ASSOCIATES PVT. LTD.,10,1,11
,JERRY VARGHESE GLOBAL RECRUITMENT SERVICES PVT.,,,
307,LTD.,12,0,12
308,JOB SEEKER MANPOWER PVT. LTD.,104,30,134
309,JOB SPOT INTERNATIONAL PVT. LTD.,66,1,67
310,JOB TRACK RECRUITING PVT. LTD.,7,0,7
311,JOB WORLD INTERNATIONAL OVERSEAS PVT. LTD.,6,0,6
,JOBS CENTER PVT. LTD.(MY CAREERS H.R. SOLUTIONS PVT.,,,
312,LTD.),2,0,2
313,JOBS GLOBAL.COM EMPLOYMENT SERVICES PVT. LTD.,6,2,8
314,JOBS SEARCH PVT. LTD.,11,0,11
315,JOINT RESOURCE MANAGEMENT PVT.LTD.,187,0,187
316,JUPITER OVERSEAS CONCERN PVT. LTD.,49,0,49
317,K & C International Pvt. Ltd,13,0,13
318,K L EMPLOYMENT SERVICES PVT. LTD.,6,0,6
319,K.H.M. Recruitment Services Pvt Ltd,30,0,30
320,K.P. INTERNATIONAL OVERSEAS PVT. LTD.,23,1,24
321,K.S.A. INTERNATIONAL GROUP PVT. LTD.,1,0,1
322,K.S.B. International Pvt.Ltd.,24,0,24
323,KABELI HUMAN RESOURCE PVT. LTD.,100,0,100
324,KAILASH INTERNATIONAL MANPOWER PVT. LTD.,30,0,30
325,KALIKA HUMAN RESOURCE PVT LTD,17,3,20
326,Kalinchok H. R. Pvt. Ltd.,21,13,34
327,KALINCHWOK MANPOWER PVT. LTD.,0,9,9
328,KAMKHYA OVERSEAS PVT. LTD.,17,0,17
329,KANCHAN HUMAN RESOURCES MANAGEMENT PVT. LTD.,66,74,140
330,KANCHANJUNGHA OVERSEAS PVT. LTD.,8,0,8
331,KANGAROO HUMAN RESOURCES PVT.LTD.,30,0,30
332,KANKAI RECRUITMENT SUPPLIERS PVT. LTD,131,0,131
333,KANTIPUR MANPOWER SERVICE (P) LTD.,82,0,82
334,KANTIPUR OVERSEAS SERVICE PVT. LTD.,7,2,9
335,KAPEEL MANPOWER PVT. LTD.,30,0,30
336,KARMA INTERNATIONAL EMPLOYMENT SERVICES (P) LTD.,46,26,72
337,Kaski Overseas P. Ltd.,2,2,4
338,KASTURI INTERNATIONAL SERVICE PVT. LTD.,107,6,113
339,Kathmandu h.r. solution pvt.ltd.,33,0,33
340,KATHMANDU INTERNATIONAL INCORPORATE PVT. LTD.,21,19,40
341,Kathmandu Overseas Pvt. Ltd.,15,0,15
342,KAUSHIK JANASHAKTI INTERNATIONAL PVT. LTD.,13,0,13
343,KHAGOL OVERSEAS PVT. LTD.,83,0,83
344,KHOJI RECRUITMENT SERVICES PVT. LTD.,115,0,115
345,KHUMBU OVERSEAS SERVICES PVT. LTD.,89,0,89
346,Kingfisher Overseas Pvt.Ltd,43,0,43
347,KOPERASI INTERNATIONAL PVT.LTD.,32,0,32
348,KOSH OVERSEAS PVT.LTD.(SHIBUWA OVERSEAS PVT.LTD.),0,4,4
349,KOSHI INTERNATIONAL SERVICES PVT. LTD.,88,0,88
350,krisha international employment service pvt ltd,21,0,21
,Ktm White Pearl H.R. Consultancy Pvt. Ltd.(Mediterranean,,,
351,Overseas Pvt. Ltd.),25,1,26
352,KUNAL EMPLOYMENT SERVICE PVT. LTD.,1,0,1
353,LAL DHANUS INTERNATIONAL SERVICE PVT. LTD.,56,1,57
354,LANDMARK MANPOWER SOLUTION PVT LTD,3,0,3
355,LEADER OVERSEAS PVT.LTD.,6,0,6
,LEADING AIM INTERNATIONAL PVT. LTD.(G AND P,,,
356,INTERNATIONAL OVERSEAS PVT LTD),24,2,26
357,LEADING FOREIGN RECRUITMENT PVT. LTD.,156,24,180
358,LIBERTY H.R. CONSULTANT PVT LTD,24,2,26
359,LIFE INTERNATIONAL OVERSEAS PVT. LTD.,84,0,84
360,LIFE LINE OVERSEAS PVT. LTD.,6,1,7
361,LIMCO OVERSEAS PVT. LTD.,9,0,9
362,LINK INTERNATIONAL PLACEMENT SERVICE PVT.LTD.,78,1,79
363,LINK ON INTERNATIONAL PVT. LTD.,11,0,11
364,LINK STAR MANPOWER SERVICES PVT. LTD.,76,3,79
365,LIVERPOOL H.R. SOLUTION PVT.LTD.,152,4,156
,LOGIN INTERNATIONAL OVERSEAS RECRUITMENT PVT.,,,
366,LTD.(GLOBAL SAPANA OVERSEAS PVT LTD),73,3,76
367,LOTUS HUMAN RESOURCE PVT. LTD.,12,0,12
368,LUCKY H. R. SOLUTION PVT. LTD.,212,0,212
369,LUCKY HUMAN RESOURCE PVT.LTD.,38,0,38
370,LUCKY OVERSEAS PVT. LTD.,28,0,28
371,LULU INTERNATIONAL PVT. LTD.,1,0,1
372,LUMBINI DARSHAN MANPOWER PVT. LTD.,9,0,9
,LUNA HR SOLUTIONS PVT. LTD (TEAM FORCE OVERSEAS,,,
373,PVT. LTD.),12,0,12
374,M.B. HUMAN RESOURCE PVT.LTD.,50,5,55
375,MAA PADMA PLACEMENT PVT.LTD,7,4,11
376,MADI OVERSEAS SERVICES PVT. LTD.,5,0,5
,MAHAD MANPOWER PVT. LTD. (SPLENDID JOB SOLUTION,,,
377,PVT. LTD.),15,0,15
378,Mahagadhi Overseas P. Ltd.,4,0,4
379,MANAKAMANA FOREIGN EMPLOYMENT CO P LTD,2,21,23
380,MANASLU INTERNATIONAL SERVICES PVT. LTD.,134,0,134
381,MANJUSHREE OVERSEAS SERVICE PVT. LTD.,35,0,35
382,MANPOWER LINK PVT. LTD.,12,0,12
383,MANSUR MANPOWER PVT.LTD.,44,0,44
384,MARVELOUS EMPLOYMENT NEPAL PVT. LTD.,4,0,4
385,MASHAREQ INTERNATIONAL OVERSEAS PVT.LTD,15,0,15
386,MASS HUMAN RESOURCE PVT. LTD.,197,5,202
,Maven Recruitment Services Pvt. Ltd.(BABY STAR,,,
387,INTERNATIONAL PVT. LTD.),90,0,90
388,Max Employment Center Pvt. Ltd.,16,0,16
